id,query,product_title,product_description,median_relevance,relevance_variance,,
52,thomas the train,Bachmann Trains Thomas' Christmas Express Ho Scale Ready To Run Electric Train Set,"Make his holiday brighter with a Thomas' Christmas Express, HO Scale Ready to Run Electric Train Set. Sporting a jolly hat and equipped with a snow plow, Thomas is ready to brave the winter weather to make sure the Christmas tree and important cargo arrive on time for the Island of Sodor holiday party. A wonderful decoration under your tree or the perfect gift for the Thomas fan in your life, this festive Thomas Christmas Express will deliver Yuletide fun to children of all ages! This ready-to-run train set includes: Thomas the Tank Engine with plow, holiday hat, and moving eyes, Open Wagon with decorated tree, Flat Car with crated load, Merry Christmas Ventilated Van, 56"" x 38"" oval of snap-fit E-Z Track, power pack, speed control and instruction booklet.",4,0.943,,
54,silver necklace,Fremada Sterling Silver Freeform Necklace,"Crafted with sterling silver, this necklace offers a radiant glow and its chain secures with spring ring closure. This necklace is versatile and contemporary which makes it a perfect everyday accessor",4,0,,
56,bluray hobbit extended,The Hobbit: The Battle of The Five Armies (3D) Blu-ray Disc (Anamorphic Widescreen 16:9),"Blu-ray Disc (Anamorphic Widescreen 16:9) | Starring: Armitage, Richard - Freeman, Martin - McKellen, Ian | New Line/Warner | 03/24/2015 | 00794043164507",3,0.748,,
58,cat grass,Gimborn 731072 Cat Grass Plus Single Cat 60Gr,"Gimborn 731072 Cat Grass Plus Single Cat 60Gr

Bring the great outdoors inside for cats! CatGrass Plus satisfies a cat‘s urge to eat fresh vegetation and preserves precious houseplants. Our unique formula requires watering only once, and grows straight from the container. Cat Grass Plus helps cat‘s natural digestive system and also acts a natural hairball remedy. Grass grows in just one week.Product type - Single CatItem weight - 60 grams.",4,0,,
59,soda stream,SodaStream Home Soda Maker Kit,"Make perfect soda or seltzer at home--with the push of a button, you can transform tap water into freshly made soda in seconds! The SodaStream Genesis Home Soda Maker is quick, economical and easy to use. Just fill the included reusable carbonating bottle with water, screw it into the machine and press the large button on top to add fizz. And if you want to make soda or flavored seltzer water, just add the flavoring of your choice. Save money, save time, save energy--and cut down on your carbon footprint! The reusable one-liter carbonating bottle saves you from carrying (and storing) large soda and seltzer cases from the store. You'll also enjoy great savings! Taking everything into account, your homemade soda or seltzer should cost only 20 cents per liter. Plus, you'll be helping the environment by drastically reducing waste from store-bought cans and bottles. The kit includes one 9-1/2' x 6' x 7' SodaStream Genesis Home Soda Maker, one 60-liter carbonator, one reusable BPA-free carbonating bottle, and one sodamix variety pack sampler with 12 regular, diet and energy drink flavors. Click here for nutritional information. Make soda and more just the way you like it--more fizz, less fizz, sweet, light, even create your own flavor! Order your SodaStream Genesis Home Soda Maker Kit from Brookstone today!",3,0.471,,
63,microwave,Frigidaire FFCE1439LB - microwave oven - freestanding - black,,4,0,,
64,aqua shoes,Nurse Mates Bryar (Women's) Aqua,,4,1.414,,
65,leather mens briefcase,Royce Leather RFID Blocking Men's Bifold Wallet with Double ID Flap in Genuine Leather,A clever way to keep private information protected is with this Royce Leather RFID Blocking Men's Bifold Wallet. There is a shield that is placed in the wallet's interior to keep electronic card readers from stealing personal information. This RFID bifold wallet is made of high-quality genuine leather and has a convenient double ID flap. It has eight slots for credit and business cards. It features two long dollar bill carriers. This handsome wallet is a thoughtful gift idea for the men in your life.,3,0.943,,
66,girls halloween costumes,Colonial Girl Child Halloween Costume,"This traditional lady has revolutionary style. Travel down a revolutionary road this year in this early American clothing. Costume includes a navy blue lace trimmed peplum blouse with a black full-length skirt. Does not include wig.


Colonial Girl Child Halloween Costume:

    Includes a navy blue lace trimmed peplum blouse with a black full-length skirt
    Does not include wig
    Material content: polyester, cotton
    Care instructions: dry clean only
    Sizing: Child
    Size Chart will vary by costume. See a detailed Size Chart.",2,0.471,,
71,knife victorinox,Victorinox Swiss Army 5.25 Serrated Utility Knife,"The Victorinox 40004 Steak Knife is a classic, reliable, tried and true member of the cutlery family. With numerous variations and customizations, the steak knife has served both restaurants and their patrons through pounds of pork and countless cuts of beef. A table knife that’s generally used for steak, this knife has a 5 1/4 inch serrated blade to make slicing through your favorite cut clean and easy. Stamped construction creates a thinner, lighter blade, and this knife’s carved rosewood handle is comfortable and classy. If a round tipped blade is more your style and taste look no further!",4,0,,
72,micro usb to hdmi,"CIRAGO Cirago MHL1000 MHL Adapter, Micro USB to HDMI Black","CIRAGO MHL1000 Adapter, MHL to HDMI,enabled device to an HDTV Compatible with HDMI 1.3 and MHL 1.0

The MHL Adapter is ideal for sharing content from your MHL compatible smartphone or tablet on your HDTV or monitor. The MHL Adapter incorporates Mobile High-Definition Link version 1.1 technology, supporting 1080p HD video and 7.1 digital audio. Connect to a power source via the Micro USB connector for simultaneous charging of the device during video/audio playback on the HDTV.FeaturesConnect a smartphone, tablet, or other MHL compatible device to your HDTVSupports 1080p HD Video and 7.1 Digital AudioConnects to your device via the Micro USB connector (male)Connects to a power source via a secondary Micro USB connector (female) for simultaneous charging of the device during video/audio playback on the HDTVSupports up to HDMI 1.3MHL 1.1Requires the mobile device to be MHL enabledInterface - Micro USB (male), Micro USB (female), HDMI (female)HDMI Version - 1.3MHL Version - 1.1Audio - 7.1 Digital AudioColor - Black",2,1.02,,
73,zippo,"Zippo Windproof Satin Chrome Serenity Prayer Lighter , # 28458, New In Box",,4,0,,
74,sleeping bags,Snugpak Chrysalis 3 Sleeping Bag,The Snugpak Chrysalis 3 sleeping bag is a perfect for overnight trips where the temperature can drop below zero. This spacious sleeping bag comes with a an expander panel allowing for comfort as well as a built in LED for assistance.,4,0,,
80,routers,Belkin WiFi Range Extender - White (F9K1015),,2,1.02,,
83,hello kitty,Girls' Hello Kitty Polka Dot Footed Sleeper,,4,0,,
88,golf clubs,"Pinemeadow Golf Nitrix Pro Men's Complete 12-Piece Golf Club Set, Right-Handed","""Batman Begins"" explores the origins of the ""Batman"" legend and the Dark Knight's emergence as a force for good in Gotham. In the wake of his parents' murder, disillusioned industrial heir Bruce Wayne (Christian Bale) travels the world seeking the means to fight injustice and turn fear against those who prey on the fearful. He returns to Gotham and unveils his alter-ego: 'Batman', a masked crusader who uses his strength, intellect and an array of high tech deceptions to fight the sinister forces that threaten the city.

Stills Gallery, Theatrical Trailer, Languages: English, French And Spanish; Subtitles: English, French, Spanish, Japanese And Korean.

""The Dark Night"" Prologue; ""Tankman Begins: A Batman Begins"" Spoof, ""Batman - The Journey Begins""; ""Shaping Mind and Body""; ""Gotham City Rises""; ""Cape and Cowl""; ""Batman - The Tumbler""; ""Path to Discovery""; ""Saving Gotham City""; ""Genesis of the Bat""; ""Reflections on Writing 'Batman Begins' with David S. Goyer""; ""Digital Batman""; ""Batman Begins Stunts/Confidential Files"".",4,0,,
89,converse low top,Converse Chuck Taylor Low Top Sneaker - Women's,"Express your individual style in the Converse Chuck Taylor All Star Low Top sneaker.
Canvas upper in an athletic sneaker style with a rubber cap toe
Lace-up front
Logo detail
Canvas lining with a cushioning insole
Striped, rubber midsole
Rubber traction outsole",4,0,,
90,memory foam pillow,Sleep Innovations 2-in-1 Reversible Memory Foam Pillow,,4,0.471,,
91,kitchen faucet,Modern Single Lever Oil Rubbed Bronze Kitchen Faucet,,2,1.02,,
94,hollister polo,George Men's Short Sleeve Polo,"The Cold Front Youth Winter Boot provides your young ones with outstanding protection. It features a cool look that children love. This snow boot is ideal for running around, sledding and playing outside.",3,0.471,,
98,dc shoes black,Women's DC Shoes Trase TX Black/White,"ntroducing the Trase TX, it has a low profile silhouette and clean upper design, this will surely be a classic. Features include a canvas upper for breathability & lightweight feel, metal eyelets and printed DC logo. The new original. This low-top skate shoe has metal eyelets, vulcanized construction and an abrasion-resistant sticky rubber outsole featuring DC's trademarked",4,0.471,,
103,donut shop k cups,Keurig Donut Shop Medium Roast Coffee K-Cups 3 Count,,4,0.471,,
105,hollister polo,"Cold-Eeze Cold Remedy Lozenges, Sugar Free, Honey Lemon, 18 ea",NOTE: Actual product packaging may differ from image shown due to packaging updates by manufacturer. Homeopathic Zinc Gluconate Glycine,1,0,,
108,eye cream,Obagi Elastiderm Eye Treatment Cream 0.5 oz / 15g Authentic NiB Sealed [5],,4,0.8,,
109,plantronics corded headset,Plantronics 26088-11 Starset II H31 Mono Corded In the Ear Headset,,4,0,,
110,sleeping bags,"Wildkin Stay Warm 30-Degree Kids' Sleeping Bag, Pink Leopard",Wildkin,4,0,,
112,ps3 wireless controller,PS3 Dualshock 3 Wireless Controller - Urban Camouflage,"Look and feel like you're a part of the action with this PS3 Dualshock 3 Wireless Controller - Urban Camouflage. Compatible with your PS3, this controller is covered in a unique camouflage print, gearing you up for action and adventure. With intuitive SIXAXIS motion-sensing controls and intense vibration, this PS3 controller will make you feel every explosion and crash, while the comfy, ergonomic grip keeps you comfortable enough to stay in the game for hours. This wireless PlayStation 3 controller gives you the freedom to move around, using Bluetooth to keep you connectedeven with up to 7 friends. When it's running low on juice, charge it using the controller's USB cable.
Style and color assortment may vary",4,0,,
113,bluesky gel nail polish,"Bluesky 0.33oz Soak Off UV Gel Nail Polish Purple, FEDORA, 510","Suitable for both hands and feet, Bluesky Shellac nail treatment does not damage natural nails, provides 14 days of incredible high-gloss wear and is quick and easy to remove. Give nails the glamour treatment they deserve from the comfort of your home or the salon. With so many colors to choose from you will never have to walk out the door with boring nails ever again!",4,0.471,,
115,yankee candle,Yankee Candle BLACK COCONUT Large Jar 22 oz.  BRAND NEW  PRIORITY SHIPPING !!!!!,,4,0.471,,
119,projector,"InFocus Projector Lamp for the IN112a, IN114a, IN116a","InFocus Projector Lamp for the IN112a, IN114a, IN116a

DESCRIPTION

SP-LAMP-086
InFocus Certified replacement projector lamp for the IN112a, IN114a or IN116a.",2,0.98,,
122,macbook case 13 case,"MacAlly 13 MacBook Air Case""","Keep your MacBook Air looking clean and pristine with the MacAlly 13"" MacBook Air Case. This lightweight, durable case features a 2-piece snap-on design to protect your MacBook Air from dings and scratches. It offers a custom fit while still providing access to all ports, sensors and vent openings to reduce heat build-up. This state-of-the-art 13"" MacBook Case includes anti-slip silica gel feet and is designed specifically for 13"" models only. It allows you to transport your computer without worry.",4,0.943,,
124,girls halloween costumes,"Crayola Blue Tween Halloween Costume, Size: Teen Girls' - One Size",,4,0,,
126,iphone 5,Mophie Juice Pack Plus for iPhone 5 - Red,Charge your Apple iPhone 5 or 5s on the go with this mophie juice pack plus 39367BBR charging case that provides up to an additional 16 hours of battery life from as little as 1.5 hours charge time. The plastic and rubber materials offer protection.,3,1.095,,
135,vanity fair bras,Vanity Fair 100 Years (Hardcover),"Vanity Fair 100 Years showcases a century of personality and power, art and commerce, crisis and culture?both highbrow and low. From its inception in 1913, through the Jazz Age and the Depression, to its reincarnation in the boom-boom Reagan years, to the image-saturated Information Age, Vanity Fair has presented the modern era as it has unfolded, using wit, imagination, peerless literary narrative, and bold, groundbreaking imagery from the greatest photographers, artists, and illustrators of the day. This sumptuous book takes a decade-by-decade look at the world as seen by the magazine, stopping to describe the incomparable editor Frank Crowninshield and the birth of the Jazz Age Vanity Fair, the magazine?s controversial rebirth in 1983, and the history of the glamorous Vanity Fair Oscar Party.
With its exhaustive sweep, visual impact, and time-capsule format, Vanity Fair 100 Years is the book everyone will want in 2013.",2,0.471,,
136,duffle bag,Pittsburgh Steelers Roadblock Duffel - Black,"t's time to stand proud and showcase some of your undying spirit for one of the winningest teams in American football with this handsome shoulder strap Pittsburgh Steelers Roadblock Duffel. Celebrating the accomplishments of this multiple Super Bowl Champion NFL franchise, this magnificent zippered duffel bag offers up enough interior spaciousness to handle any and all of your belongings with ease. The perfect travel companion for a casual weekend get-away, trip to the gym, or for any activity where you need a roomy bag with multiple compartments, this fine stitched polyester beauty will more than fit the bill. C'mon Steelers fans, let's hear you make some noise! Measures 11.5H""x20W""x13D"".
Closure Type: Zip Closure
Includes: Shoulder Strap
Exterior Features: Full Zippered Closure
Interior Features: Multiple Compartments
Handle Type: Removable Strap, Adustable Shoulder Strap
Shell Material Polyester
Liner Material: Polyester
Handle Material: Nylon
Dimensions: 11.5 "" H x 20.0 "" W x 13.0 "" D
Weight: 3.0 Lb.
Warranty Description: 60 Day Limited Manufacturer Warranty
other Info.",4,0.471,,
143,white plain dinner set,"Corelle Plain White Dinner Plate 10 1/4 Set of 2""",,4,0.471,,
145,dress shirts,George Boys' 2 Piece Dress Shirt and Tie Set,"This George Boys 2 Piece Dress Shirt and Tie Set will make your boy look so smart and sharp. With comfortable design and impeccable match, this 2-piece set will make your boy look great. Each piece is also great for mix and match with his existing closet. Choose from assorted options.",3,0.433,,
151,led christmas lights,Set of 96 Twinkling Warm White LED Christmas Lights Extension Set - Black Wire,"Set of 96 Twinkling Warm White LED Christmas Lights Extension Set - Black Wire

LED's Connect 24V, the new flexible lighting system",4,0,,
161,steel necklace,Fashion Gift Men's 316L Stainless Steel Cross Pendant Necklace Chain Silver,,3,0.471,,
164,kitchenaid mixer,KitchenAid RRFGA Food Grinder Mixer Attachment (Refurbished),"Accessorize your KitchenAid stand mixer to quickly grind meats, firm fruits and vegetables, dry bread, and cheese with this attachment. This versatile attachment includes coarse and fine grinding plates.",2,0.471,,
171,dc shoes black,Boys' DC Shoes Pure Black/Grey/Yellow,"Kids' Pure features a heavy-duty, soft, resilient upper, metal eyelets and lace locks, foam-padded tongue and collar, lightweight mesh tongue and vulcanized construction. Also has an abrasion-resistant sticky rubber outsole, multi-tone bottom with DC's trademarked ""pill pattern,"" and the sole design allows comfortable walking for all ages. Features either a leather or canvas upper.",3,0.471,,
172,duffle bag,Every Day Carry Tactical Large Heavy Duty Carry All Shoulder Duffle Bag - ODG,"The Every Day Carry duffle bag is constructed from heavy duty 600D polyester to withstand harsh environments, and can accommodate all your gear for any mission or hiking excursion. It has dual carry handles as well as an adjustable shoulder strap for longer carry times. The main compartment features a wide mouth to easily fit all your gear inside and has pull tabs on the zippers. Additional it has a side pocket so you can easily stash and access smaller items or items that need to be ready at hand.",4,0.49,,
173,hello kitty,Sanrio Co. 'Hello Kitty' Women's 3.4-ounce Eau de Toilette (Tester) Spray,Hello Kitty perfume was introduced by the design house of Sanrio Co. This fragrance is available in a 3.4-ounce eau de toilette tester spray.,3,0.471,,
176,pots and pans set,Cookware Pots And Pans Set 7 Piece Stainless Steel Kitchen Food Cooking,,4,0.433,,
181,electric blanket,Sunbeam Heated Electric Blanket Channeled Microplush King Size Slate Grey,"Indulge in the rich softness of the Sunbeam Channeled Microplush Heated Blanket in Slate Grey, King Size. The ultra-soft microplush fabric is smooth to the touch, the stylish channel pattern and hemmed edges finish off the blanket with sophistication. Personalized heat settings prepare for a restful night of soothing comfort and elegance. The thermofine warming system of the blanket monitors temperature and auto-adjusts to keep the level of warmth consistent throughout the night.
Sunbeam blankets also allow you to save up to 10 percent a year on your heating bills by turning on your heated blanket and setting your thermostat down by 10-15 percent for 8 hours while sleeping. The blanket includes 10 heating levels, while an easy-to-operate control makes it simple to find exactly the right setting. For easy care, the blanket is fully machine washable and dryer safe. Made of 100 percent polyester. Includes a 5 Year Limited Warranty from Sunbeam.
-Twin (62 in x 83 in) Single Heating Control
-Full (72 in x 83 in) Single Heating Control
-Queen (84 in x 89 in) Dual Heating Controls
-King (100 in x 89 in) Dual Heating Controls",4,0,,
183,aveeno shampoo,"Herbal Essences Body Envy Volumizing Shampoo, 33.8 oz","Herbal Essences Body Envy Volumizing Shampoo gives your hair body that just won't quit. This lightweight formula shampoo is infused with passion flower and pearl for natural volume and shine. Herbal Essences Body Envy shampoo, 33.8 oz, has a fresh, exhilarating scent and works up into a rich, thick lather. It's also ideal for all hair types, including color-treated hair. Herbal Essences volumizing shampoo comes with a pump applicator, for added convenience. For best results, combine with Herbal Essences Body Envy volumizing conditioner, sold separately.",2,0.471,,
189,blender,Bosch Universal Plus Blender Pitcher,"This blender pitcher is designed to puree, mix, blend, and crumb. Make anything from soups, sauces, fresh nut butters, baby foods, and sandwich spreads. This blender features a large 4 cup capacity.

Title: Bosch Universal Plus Blender
Color: White
Includes: Blender with lid and funnel
Capacity: Six (6) Cups
Motor: 800 Watts (Uses the Bosch Universal Motor)
Settings: Four (4) speeds once attached to Mixer
Dimensions: 10 inches high x 4 inches wide x 5 inches deep
Materials: Plastic
Removable blades for easy cleaning
Does NOT fit older Universal mixers. Only fits Universal Plus Mixers.",4,0.943,,
194,skechers womens shoes,Danskin Now Girl's Bungee Tie Cross-trainer Shoe,UPPER:PU/MESH OUTSOLE:EVA/FABRIC Useasoftbristlebrushtoremoveanysurfacedirtordustfromtheshoe,2,0.894,,
195,bird seed feeder,"Perky-Pet Mason Jar Wild Bird Feeder , New, Free Shipping",,4,0,,
197,long prom dress,R & M Richards Petites' Long Lace Mesh Ribbon Belt Dress,Exude classic elegance with this long formal dress from R&M Richards that features a darling ribbon belt at the waist and an allover rose mesh lace.,2,0.943,,
199,led christmas lights,Swirling LED Lighted Christmas Tree Glitterdome Figure with Winter Town Scene,"Pack of 2 Winter Scene Swirling LED Lighted Christmas Tree Glitterdome Figures

A magnetic motor on the bottom of these Christmas tree glitterdomes swirls the iridescent glitter inside in timed intervals

The bases of the trees are lit from within by LED lights

The trees are surrounded by a colorful wintry town scene

Convenient on/off switch on the back

Battery operated (not included)

Dimensions: 8.5""H x 8""W x 6.5""D

Material(s): resin/plastic

Pack includes 2 of the item shown",2,0,,
200,harleydavidson,Harley Davidson - Eagle' Framed Art Print with Gel Coated Finish,,3,0.471,,
201,harleydavidson,Ultimate Harley-Davidson (Hardcover),"Updated for a new generation of bike lovers, this visually stunning and comprehensive history of Harley-Davidson charts the company and its bikes decade by decade.
From the moment the first model rolled out of a backyard shed in Milwaukee, through Harley's postwar golden age, to the sought-after bikes that distinguish the company today,Ultimate Harley-Davidson presents seventy of the most beautiful and coveted Harleys of all time.
Whether it's the 1911 V-Twin or the 1999 X1 Lightning, the seventy Harley-Davidson bikes examined are presented in minute detail, with close-ups of the engines and in-depth technical specifications.",2,0.748,,
204,bike lock,Wordlock Bike Lock Match Key 10mm 5ft - Black,"Features & BenefitsMatchKey System Key Color Matches Cable Color Word on Key Matches Word on Lock (Laser Etched) Unique Key shape for all Match Key products Heavy-duty flexible steel cable 10mm thick, 5 feet long Bike mounting bracket",4,0,,
211,rain jacket,Cloudburst Rain Jacket,,4,0,,
214,duffle bag,WalterDrake Duffle Bag,"Stylish tapestry luggage is lightweight, yet rugged and water-resistant. Duffle bag is part of luggage set that nests for easy storage. Durable polyester with leather-like trim. Duffle's removable strap adjusts up to 26"" L. 14 1/2"" H x 20 1/2"" W x 5 1/4"" D.",4,0,,
215,lego star wars,Lego Star Wars Republic Frigate (7694) No minifigs,,4,0.471,,
217,reusable straws,"Itzy Ritzy Snack Happens Reusable Snack Bag with Thermos Straw Bottle, Jungle","You never leave home without a snack stash. (Smart thinking.) Keep crackers, fruit, sandwiches and candy bribes stylishly contained in our colorful zippered bags. The eco-friendly carriers come in modern patterns so adorable you'll forget plastic bags ever existed. Even better, they're machine washable so cleaning - and reusing - is easy. The Itzy Ritzy Snack Happens Reusable Snack & Everything Bags are reusable, machine washable bags for snacks, sandwiches and so much more. Made with an FDA approved, BPA-free, machine washable lining, these bags are also lead free, phthalate free and CPSIA Certified. The zipper top allows for silent snacking and no messy crumbs getting stuck in velcro and is ideal for little hands. Measures 7-inch by 7-inch. The Thermos Straw Bottle (11 Ounces) combines lightweight portability with superior durability. Made with Eastman Tritan copolyester, the container's body is impact-resistant, kid-friendly, and dishwasher-safe.",4,1.414,,
218,projector,LG PH300 Minibeam LED Projector with Embedded Battery and Built-in Digital Tuner,"This LG Minibeam Projector features a digital TV tuner, built-in 2.5-hour battery, and LED light source. Easily convert the display of your tablet to the projector with a HDMI or compatible cable. Control all of your content straight from the projector with plug and play media from USB and the included remote control. Auto keystone automatically corrects a skewed picture up to 40 degrees. Projector features an HD 1280 x 720 resolution with LED RGB lamp and a 20 to 100-inch screen size.",4,0,,
220,kitchenaid glass bowl,KitchenAid K5GB 5 Qt. Glass Bowl for Stand Mixer - NEW IN BOX,,4,0,,
221,yoga mat,The Macbeth Collection Margarita Fashion Yoga Mat,"Get fit in style. The Macbeth Collection fashion Yoga mat is the perfect accessory to help keep you fit. Carry it around to your fitness class, or unroll it right at home. The mat easily cleans when dirty and is slip-resistant for safety.",4,0,,
228,portable hard drive,"Toshiba Canvio Connect 2TB Portable External Hard Drive, Black","Store your important files, pictures and media with ease using the Toshiba Canvio Connect 2TB Portable External Hard Drive. The hard drive has a 2TB capacity that is designed to hold 1,300,000 photos and 571,000 hours of music. Compatible with Microsoft Windows 8, 7 or XP, the Toshiba 2TB hard drive will keep your files centralized while allowing you easy access. The black hard drive also has a 5,4000RPM speed that will let you retrieve your files quickly and effortlessly. Enhance the way you use your computer with this handy hard drive.",4,0,,
